"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 30 17:19:15 BRT 2021","Tue Mar 30 17:19:30 BRT 2021","15769","","LogOn","","COSD_Tests.Tests.LogOn","TooManyFailedAttemptsOnFirstTry","TooManyFailedAttemptsOnFirstTry","Try to access COSD with a wrong login/password after too many failed attempts. Expected to redirect to page 'too many failed attempts' on first try
"
"passed","Tue Mar 30 10:40:17 BRT 2021","Tue Mar 30 10:40:46 BRT 2021","29391","","AdminSecurity","","COSD_Tests.Tests.AdminSecurity","CheckNotAdminAccess_AdminUsers","CheckNotAdminAccess_AdminUsers","An user (without permissions) sign in and try to access an admin URL. It expects a denied message
"
"passed","Tue Mar 30 16:57:32 BRT 2021","Tue Mar 30 16:58:24 BRT 2021","52386","","LogOn","","COSD_Tests.Tests.LogOn","LoginWithLowerCaseUsername","LoginWithLowerCaseUsername","Login with all lower case account name is accepted eg (qa_cosd@weblakes.com)
"
"passed","Tue Mar 30 15:07:40 BRT 2021","Tue Mar 30 15:08:58 BRT 2021","78004","","HHRP.Distance","","COSD_Tests.Tests.HHRPDistance","HHRPDistanceNextWithoutDistanceDefinedGivesError","HHRPDistanceNextWithoutDistanceDefinedGivesError","HHRP Distance, next without distance defined gives error
"
"passed","Tue Mar 30 10:55:19 BRT 2021","Tue Mar 30 10:56:09 BRT 2021","49498","","AdminSecurity","","COSD_Tests.Tests.AdminSecurity","CheckAdminAccess_WizInviteUsers","CheckAdminAccess_WizInviteUsers","Test with admin user to show access is permitted. Try to access the url: '/WizInviteUsers'. Should fail if page doesn't load
"
"passed","Tue Mar 30 10:53:18 BRT 2021","Tue Mar 30 10:53:58 BRT 2021","39218","","AdminSecurity","","COSD_Tests.Tests.AdminSecurity","CheckAdminAccess_GroupMembership","CheckAdminAccess_GroupMembership","Test with admin user to show access is permitted. Try to access the url: '/GroupMembership'. Should fail if page doesn't load
"
"failed","Tue Mar 30 11:52:35 BRT 2021","Tue Mar 30 11:53:52 BRT 2021","77495","","WFTrack.Tickets","","COSD_Tests.Tests.WFTrackTickets","VerifyThatUpdateInProjectsOnCalendarUpdatesTickets","VerifyThatUpdateInProjectsOnCalendarUpdatesTickets","Verify that update in projects on Calendar updates Tickets
"
"passed","Tue Mar 30 11:10:10 BRT 2021","Tue Mar 30 11:11:12 BRT 2021","61918","","AdminUserInvite","","COSD_Tests.Tests.AdminUserInvite","RegisteredUsersResendInvitationNo","RegisteredUsersResendInvitationNo","User Invite, Show Claimed; Resend.  [No, Cancel] does not resend invitation
"
"passed","Tue Mar 30 15:19:42 BRT 2021","Tue Mar 30 15:22:05 BRT 2021","143159","","HHRP.Distance","","COSD_Tests.Tests.HHRPDistance","HHRPDistanceRemoveLinkClearsRowOfData","HHRPDistanceRemoveLinkClearsRowOfData","HHRP distance, remove link clears row of data
"
"failed","Tue Mar 30 11:49:09 BRT 2021","Tue Mar 30 11:49:52 BRT 2021","43759","","WFTrack.Setup","","COSD_Tests.Tests.WFTrackSetup","ApplyWithoutSelectionsGivesError","ApplyWithoutSelectionsGivesError","
Setup SetUp method failed
[Apply] without selections gives error
"
